t,X1,X2,X3,X4,X5,X6,CPIinf
27,-0.032468862,-0.014945511,-0.051946493,0.006524947,0.015821131,0.068229273,0.00544664
28,0.057021029,0.033912424,0.040189983,0.039995926,0.030516729,0.31129916,0.004337746
29,-0.030728245,-0.027460276,-0.069101939,0.006064987,0.014984774,0.015312214,-0.002892136
30,0.034480658,0.016186732,0.047038423,0.018005417,0.00682689,0.080788948,0.001322189
31,-0.034265543,0.000707241,0.021369197,-0.043024103,0.066379752,-0.016540783,0.002496878
32,-0.034965679,-0.037012895,-0.060427864,-0.043272549,0.075782413,-0.016236787,-0.009099039
33,0.011599552,0.007558171,0.025544902,-0.008681697,0.129116549,0.042259712,-0.009172286
34,0.010095701,0.014652068,0.018562663,0.015623523,0.03356143,0.038579059,0.007876826
35,-0.010440531,-0.009031577,-0.023253056,0.00956667,0.00520868,0.009518693,-0.001592605
36,-0.006214183,-0.0240605,-0.04441643,-0.008701929,0.022739318,-0.059080864,-0.006865955
37,0.010995749,0.011134776,0.035218499,0.002663924,0.078477373,-0.024847918,-0.002489045
38,-0.003478307,0.000522309,-0.024845657,0.004732351,0.078203327,0.017677963,0.006926687
39,-0.003355437,0.010331034,0.022509106,-0.001901163,0.244088424,0.024029148,-0.00139344
40,0.012613075,0.005594113,0.030314877,0.000285344,-0.032572062,-0.001157385,0.003744867
41,0.003150806,-0.00203626,-0.007841534,0.004913305,0.093838985,-0.005183496,-0.000879079
42,-0.022847595,-0.008590261,-0.016726475,-0.010565385,0.016525664,-0.010244586,-0.00356246
43,0.009660571,0.003425742,0.000382582,0.002414593,0.02667401,0.021565413,0.000889081
44,0.012804077,0.002281375,0.021876711,0.004306374,0.015287029,0.010108161,0.00243558
45,0.00569147,0.009952675,0.006661823,0.002146062,0.036151046,0.002053072,0.005419639
46,-0.013989218,-0.006399596,-0.026675227,-0.00083597,0.015803811,0.007453296,0.000515605
47,0.006706509,0.00097997,0.016959494,0.008993518,0.019956056,0.002904561,-2.37E-05
48,0.013413026,0.01176084,0.014069236,-0.000725366,0.064400638,0.020534688,0.001895736
49,-0.001237734,-0.008509774,-0.035267739,0.010692628,0.065980914,0.03514444,0.006423742
50,-0.003657507,0.007499691,-0.004631369,0.004523573,0.068493212,0.127392566,0.000407923
51,0.003516063,0.007592754,0.023466177,-0.000873565,0.053050528,0.120829857,-0.000536327
52,0.01086596,0.000817326,-0.019405317,0.006833246,0.042042392,0.109313621,0.007529277
53,-0.025476107,-0.015638841,-0.010443654,-0.026931211,0.038439527,0.02313731,-0.005513161
